"Amazon Payments uses information from your Amazon account to place your order.", "Per effettuare gli ordini, Amazon Payments utilizza informazioni provenienti dal tuo account Amazon."
"Click <a href=""#"" id=""amazon-cancel"">here</a> to change your payment method.", "Clicca <a href=""#"" id=""amazon-cancel"">qui</a> per modificare il metodo di pagamento."
"Change Payment Method", "Modifica metodo di pagamento"
"More Info", "Maggiori informazioni"
"Example:", "Esempio:"
"Pay with Amazon", "Paga con Amazon"
"Payment Declined By Amazon Payments", "Pagamento rifiutato da Amazon Payments"
"Please update your payment method below:", "Aggiorna il metodo di pagamento di seguito:"
"Please agree to all the terms and conditions before placing the order.", "Prima di effettuare l'ordine, accetta tutti i termini e le condizioni."
"There was an error processing your order. Please contact us or try again later.", "Si &egrave; verificato un errore durante l'elaborazione dell'ordine. Contattaci o riprova pi&ugrave; tardi."
"Thank you for updating your payment method.", "Grazie per aver aggiornato il metodo di pagamento."
"Please try another payment method.", "Prova con un altro metodo di pagamento."
"OR", "O"
"Payment", "Pagamento"
"Order Summary", "Riepilogo ordine"
"Amazon Order Reference ID required. Please try again.", "Numero di riferimento dell'ordine Amazon necessario. Riprova."
"Please select a shipping address.", "Seleziona un indirizzo di spedizione."
"Please select a payment method.", "Seleziona un metodo di pagamento."
#adminhtml,,
"Sync with Amazon", "Sincronizza con Amazon"
"Sync with Amazon: Authorization state is ""%s"".", "Sincronizza con Amazon: lo stato dell'autorizzazione &egrave; ""%s""."
"(Payment is currently authorizing. Please try again momentarily.)", "(Il pagamento &egrave; in fase di autorizzazione. Riprova tra qualche minuto.)"
"Order placed on hold due to ""%s"". Email sent to customer with link to order details page and instructions to update their payment method.", "Ordine sospeso per ""%s"". E-mail inviata al cliente con link alla pagina dei dettagli dell'ordine e istruzioni per aggiornare il metodo di pagamento."
"Unable to create invoice due to Authorization Reason Code: %s", "Impossibile creare la fattura a causa del codice motivo autorizzazione: %s"
"Amazon Payments requires a <a href=""https://github.com/amzn/amazon-payments-magento-plugin/wiki/Magento-1.5-Compatibility"" target=""_blank"">patched Payments.php</a> file for Magento 1.5 compatibility.", "Amazon Payments richiede un file <a href=""https://github.com/amzn/amazon-payments-magento-plugin/wiki/Magento-1.5-Compatibility"" target=""_blank"">con patch Payments.php</a> per la compatibilit&agrave; con Magento 1.5."
